SEED,SHOTS,DATASET,MODEL,BACKBONE,AVG ACC
8,4,artgraph,APE,RN50,53.82262996941896
8,4,artgraph,GDA_CLIP,RN50,54.12844036697248
8,4,artgraph,TIMO,RN50,55.04587155963303
8,4,artgraph,TIMO_S,RN50,57.186544342507645
8,8,artgraph,Tip_Adapter,RN50,47.706422018348626
8,8,artgraph,APE,RN50,58.71559633027523
8,8,artgraph,GDA_CLIP,RN50,63.91437308868502
8,8,artgraph,TIMO,RN50,64.22018348623853
8,8,artgraph,TIMO_S,RN50,64.52599388379205
8,16,artgraph,Tip_Adapter,RN50,54.43425076452599
8,16,artgraph,APE,RN50,60.55045871559633
8,16,artgraph,GDA_CLIP,RN50,75.53516819571865
8,16,artgraph,TIMO,RN50,75.53516819571865
8,16,artgraph,TIMO_S,RN50,75.53516819571865
9,1,artgraph,Tip_Adapter,RN50,38.837920489296636
9,1,artgraph,APE,RN50,40.97859327217125
9,1,artgraph,GDA_CLIP,RN50,38.2262996941896
9,1,artgraph,TIMO,RN50,40.36697247706422
9,1,artgraph,TIMO_S,RN50,42.20183486238532
9,2,artgraph,Tip_Adapter,RN50,40.36697247706422
9,2,artgraph,APE,RN50,46.48318042813456
9,2,artgraph,GDA_CLIP,RN50,46.48318042813456
9,2,artgraph,TIMO,RN50,46.788990825688074
9,2,artgraph,TIMO_S,RN50,46.48318042813456
9,4,artgraph,Tip_Adapter,RN50,44.64831804281346
9,4,artgraph,APE,RN50,54.43425076452599
9,4,artgraph,GDA_CLIP,RN50,52.599388379204896
9,4,artgraph,TIMO,RN50,55.04587155963303
9,4,artgraph,TIMO_S,RN50,55.657492354740064
9,8,artgraph,Tip_Adapter,RN50,49.54128440366973
9,8,artgraph,APE,RN50,61.162079510703364
9,8,artgraph,GDA_CLIP,RN50,66.36085626911316
9,8,artgraph,TIMO,RN50,66.97247706422019
9,8,artgraph,TIMO_S,RN50,66.97247706422019
9,16,artgraph,Tip_Adapter,RN50,51.37614678899082
9,16,artgraph,APE,RN50,60.24464831804281
9,16,artgraph,GDA_CLIP,RN50,71.86544342507645
