Model 1,Model 2,Shots,Metric,Model 1 Mean,Model 2 Mean,Difference,t-statistic,p-value,Significant (p<0.05)
TIMO_S_Custom_FSL1_RN50,GDA_CLIP_RN50,2,ACC,13.761467889908257,47.217125382263,-33.455657492354746,-29.095561745697644,3.2631730636411353e-10,True
TIMO_S_Custom_FSL4_RN50,TIMO_S_RN50,2,ACC,15.382262996941895,48.65443425076454,-33.27217125382264,-32.13619717188123,1.3443226907824592e-10,True
TIMO_S_Custom_FSL4_RN50,Tip_Adapter_Custom_FSL1_RN50,2,ACC,15.382262996941895,1.1926605504587156,14.18960244648318,12.621211065514917,5.003542164572042e-07,True
TIMO_S_Custom_FSL4_RN50,Tip_Adapter_Custom_FSL4_RN50,2,ACC,15.382262996941895,1.1926605504587156,14.18960244648318,13.875668677222862,2.2150944636960453e-07,True
TIMO_S_Custom_FSL4_RN50,Tip_Adapter_RN50,2,ACC,15.382262996941895,40.73394495412843,-25.351681957186535,-23.595995348561434,2.102972094199353e-09,True
TIMO_S_Custom_FSL4_RN50,APE_Custom_FSL1_RN50,2,ACC,15.382262996941895,3.5474006116207955,11.834862385321099,10.72382916227757,1.9942561436889228e-06,True
TIMO_S_Custom_FSL4_RN50,APE_Custom_FSL4_RN50,2,ACC,15.382262996941895,3.394495412844037,11.987767584097858,10.892624997727216,1.7486831197339786e-06,True
TIMO_S_Custom_FSL4_RN50,APE_RN50,2,ACC,15.382262996941895,47.09480122324159,-31.712538226299692,-26.714936924461544,6.979381384404328e-10,True
TIMO_S_Custom_FSL4_RN50,GDA_CLIP_Custom_FSL1_RN50,2,ACC,15.382262996941895,20.948012232415902,-5.565749235474007,-4.63845882065874,0.0012219293074813744,True
TIMO_S_Custom_FSL4_RN50,GDA_CLIP_Custom_FSL4_RN50,2,ACC,15.382262996941895,25.96330275229358,-10.581039755351684,-8.347115693670343,1.5740531513671236e-05,True
TIMO_S_Custom_FSL4_RN50,GDA_CLIP_RN50,2,ACC,15.382262996941895,47.217125382263,-31.834862385321102,-24.869663418287455,1.3187807541775943e-09,True
TIMO_S_RN50,Tip_Adapter_Custom_FSL1_RN50,2,ACC,48.65443425076454,1.1926605504587156,47.46177370030582,109.86511268100469,2.1767489305770765e-15,True
TIMO_S_RN50,Tip_Adapter_Custom_FSL4_RN50,2,ACC,48.65443425076454,1.1926605504587156,47.46177370030582,114.41495797620041,1.5111394077763946e-15,True
TIMO_S_RN50,Tip_Adapter_RN50,2,ACC,48.65443425076454,40.73394495412843,7.920489296636106,20.272631253593605,8.057251250727565e-09,True
TIMO_S_RN50,APE_Custom_FSL1_RN50,2,ACC,48.65443425076454,3.5474006116207955,45.107033639143744,84.15224513739157,2.3934420961638197e-14,True
TIMO_S_RN50,APE_Custom_FSL4_RN50,2,ACC,48.65443425076454,3.394495412844037,45.2599388379205,107.685817516132,2.606548941334123e-15,True
TIMO_S_RN50,APE_RN50,2,ACC,48.65443425076454,47.09480122324159,1.559633027522949,3.2406818483970903,0.010147575162406169,True
TIMO_S_RN50,GDA_CLIP_Custom_FSL1_RN50,2,ACC,48.65443425076454,20.948012232415902,27.706422018348636,40.956779239432095,1.5361426194832152e-11,True
TIMO_S_RN50,GDA_CLIP_Custom_FSL4_RN50,2,ACC,48.65443425076454,25.96330275229358,22.69113149847096,27.00215804599088,6.345799907477389e-10,True
TIMO_S_RN50,GDA_CLIP_RN50,2,ACC,48.65443425076454,47.217125382263,1.437308868501539,2.446722269588163,0.036954885027847016,True
Tip_Adapter_Custom_FSL1_RN50,Tip_Adapter_Custom_FSL4_RN50,2,ACC,1.1926605504587156,1.1926605504587156,0.0,-5.166191449010616e-16,0.9999999999999996,False
Tip_Adapter_Custom_FSL1_RN50,Tip_Adapter_RN50,2,ACC,1.1926605504587156,40.73394495412843,-39.541284403669714,-117.9796035932261,1.1467269902857749e-15,True
Tip_Adapter_Custom_FSL1_RN50,APE_Custom_FSL1_RN50,2,ACC,1.1926605504587156,3.5474006116207955,-2.35474006116208,-4.564646926312032,0.0013572290328912361,True
Tip_Adapter_Custom_FSL1_RN50,APE_Custom_FSL4_RN50,2,ACC,1.1926605504587156,3.394495412844037,-2.2018348623853217,-4.98697664262779,0.0007522299048491318,True
Tip_Adapter_Custom_FSL1_RN50,APE_RN50,2,ACC,1.1926605504587156,47.09480122324159,-45.90214067278287,-101.47967995804885,4.445360606468688e-15,True
Tip_Adapter_Custom_FSL1_RN50,GDA_CLIP_Custom_FSL1_RN50,2,ACC,1.1926605504587156,20.948012232415902,-19.755351681957187,-29.81891368974337,2.621504292074341e-10,True
Tip_Adapter_Custom_FSL1_RN50,GDA_CLIP_Custom_FSL4_RN50,2,ACC,1.1926605504587156,25.96330275229358,-24.770642201834864,-29.642964715811683,2.7635683806975207e-10,True
Tip_Adapter_Custom_FSL1_RN50,GDA_CLIP_RN50,2,ACC,1.1926605504587156,47.217125382263,-46.02446483180428,-90.9388154429021,1.1917762187428e-14,True
Tip_Adapter_Custom_FSL4_RN50,Tip_Adapter_RN50,2,ACC,1.1926605504587156,40.73394495412843,-39.541284403669714,-129.22822647240443,5.054720470773538e-16,True
Tip_Adapter_Custom_FSL4_RN50,APE_Custom_FSL1_RN50,2,ACC,1.1926605504587156,3.5474006116207955,-2.35474006116208,-4.836702076766255,0.0009252503586179632,True
Tip_Adapter_Custom_FSL4_RN50,APE_Custom_FSL4_RN50,2,ACC,1.1926605504587156,3.394495412844037,-2.2018348623853217,-5.511351921262151,0.00037464565309010847,True
Tip_Adapter_Custom_FSL4_RN50,APE_RN50,2,ACC,1.1926605504587156,47.09480122324159,-45.90214067278287,-96.68790962276482,6.8677058521174475e-15,True
Tip_Adapter_Custom_FSL4_RN50,GDA_CLIP_Custom_FSL1_RN50,2,ACC,1.1926605504587156,20.948012232415902,-19.755351681957187,-31.929635586152507,1.4239966515750527e-10,True
Tip_Adapter_Custom_FSL4_RN50,GDA_CLIP_Custom_FSL4_RN50,2,ACC,1.1926605504587156,25.96330275229358,-24.770642201834864,-29.642964715811683,2.7635683806975207e-10,True
Tip_Adapter_Custom_FSL4_RN50,GDA_CLIP_RN50,2,ACC,1.1926605504587156,47.217125382263,-46.02446483180428,-80.25477795051366,3.665657409284782e-14,True
Tip_Adapter_RN50,APE_Custom_FSL1_RN50,2,ACC,40.73394495412843,3.5474006116207955,37.18654434250764,69.13854157439586,1.3997385608003123e-13,True
Tip_Adapter_RN50,APE_Custom_FSL4_RN50,2,ACC,40.73394495412843,3.394495412844037,37.339449541284395,101.24348718549228,4.539496559482969e-15,True
Tip_Adapter_RN50,APE_RN50,2,ACC,40.73394495412843,47.09480122324159,-6.360856269113157,-15.522580167275867,8.375799925596623e-08,True
Tip_Adapter_RN50,GDA_CLIP_Custom_FSL1_RN50,2,ACC,40.73394495412843,20.948012232415902,19.78593272171253,34.96871602292703,6.320108019125844e-11,True
Tip_Adapter_RN50,GDA_CLIP_Custom_FSL4_RN50,2,ACC,40.73394495412843,25.96330275229358,14.770642201834853,19.46589203958012,1.152630001082135e-08,True
Tip_Adapter_RN50,GDA_CLIP_RN50,2,ACC,40.73394495412843,47.217125382263,-6.483180428134567,-9.261263000607,6.752025794743467e-06,True
APE_Custom_FSL1_RN50,APE_Custom_FSL4_RN50,2,ACC,3.5474006116207955,3.394495412844037,0.15290519877675823,0.4152273992686997,0.6876995684966412,False
APE_Custom_FSL1_RN50,APE_RN50,2,ACC,3.5474006116207955,47.09480122324159,-43.547400611620795,-53.71991457561514,1.3493377391799472e-12,True
APE_Custom_FSL1_RN50,GDA_CLIP_Custom_FSL1_RN50,2,ACC,3.5474006116207955,20.948012232415902,-17.400611620795107,-21.158086355361277,5.523497750334296e-09,True
APE_Custom_FSL1_RN50,GDA_CLIP_Custom_FSL4_RN50,2,ACC,3.5474006116207955,25.96330275229358,-22.415902140672785,-22.18949272090459,3.6254207145886e-09,True
APE_Custom_FSL1_RN50,GDA_CLIP_RN50,2,ACC,3.5474006116207955,47.217125382263,-43.669724770642205,-54.600944661193665,1.166041245700897e-12,True
APE_Custom_FSL4_RN50,APE_RN50,2,ACC,3.394495412844037,47.09480122324159,-43.70030581039755,-73.42432841722218,8.153563429828955e-14,True
APE_Custom_FSL4_RN50,GDA_CLIP_Custom_FSL1_RN50,2,ACC,3.394495412844037,20.948012232415902,-17.553516819571865,-22.8808168486402,2.762743819601945e-09,True
APE_Custom_FSL4_RN50,GDA_CLIP_Custom_FSL4_RN50,2,ACC,3.394495412844037,25.96330275229358,-22.568807339449542,-24.51540137066666,1.4979900198784561e-09,True
